,Unnamed: 0,FoodID,NutrientID,NutrientValue,NutrientCode,NutrientSymbol,NutrientUnit,NutrientName,Tagname,need,NutrientGroup,dv
4,4,2,208,204.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,102.0
95,95,4,208,60.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,30.0
190,190,5,208,85.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,42.5
319,319,6,208,374.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,187.0
412,412,7,208,179.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,89.5
426,426,7,309,4.99,309.0,ZN,mg,ZINC,ZN,9.0,3.0,0.5544444444444445
440,440,7,418,1.345,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.5604166666666667
495,495,8,208,173.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,86.5
532,532,9,208,131.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,65.5
569,569,10,208,112.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,56.0
606,606,13,208,22.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,11.0
741,741,14,208,18.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,9.0
868,868,16,204,81.11,204.0,FAT,g,FAT (TOTAL LIPIDS),FAT,66.0,2.0,1.228939393939394
871,871,16,208,717.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,358.5
923,923,16,601,219.0,601.0,CHOL,mg,CHOLESTEROL,CHOLE,300.0,4.0,0.73
967,967,17,204,99.48,204.0,FAT,g,FAT (TOTAL LIPIDS),FAT,66.0,2.0,1.507272727272727
970,970,17,208,876.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,438.0
1030,1030,17,601,256.0,601.0,CHOL,mg,CHOLESTEROL,CHOLE,300.0,4.0,0.8533333333333334
1082,1082,18,208,353.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,176.5
1181,1181,19,208,371.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,185.5
1189,1189,19,301,674.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.674
1280,1280,20,208,334.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,167.0
1311,1311,20,418,1.65,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.6875
1378,1378,21,208,300.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,150.0
1476,1476,22,208,376.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,188.0
1482,1482,22,301,673.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.673
1565,1565,23,208,387.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,193.5
1571,1571,23,301,643.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.643
1655,1655,24,208,394.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,197.0
1663,1663,24,301,685.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.685
1753,1753,25,208,99.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,49.5
1864,1864,26,208,97.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,48.5
1962,1962,27,208,72.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,36.0
2079,2079,28,208,342.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,171.0
2198,2198,29,208,357.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,178.5
2206,2206,29,301,731.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.731
2229,2229,29,418,1.54,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.6416666666666667
2296,2296,30,208,389.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,194.5
2327,2327,30,418,1.68,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.7
2394,2394,31,208,466.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,233.0
2422,2422,31,418,2.42,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,1.0083333333333333
2478,2478,32,208,413.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,206.5
2486,2486,32,301,1011.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.011
2509,2509,32,418,1.6,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.6666666666666667
2576,2576,33,208,327.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,163.5
2675,2675,34,208,374.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,187.0
2683,2683,34,301,746.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.746
2774,2774,35,208,319.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,159.5
2782,2782,35,301,575.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.575
2872,2872,37,208,368.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,184.0
2880,2880,37,301,717.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.717
2903,2903,37,418,1.47,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.6125
2970,2970,38,208,253.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,126.5
3081,3081,39,208,420.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,210.0
3095,3095,39,301,853.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,0.853
3100,3100,39,307,1804.0,307.0,,mg,SODIUM,,2300.0,4.0,0.7843478260869565
3104,3104,39,317,34.4,317.0,SE,µg,SELENIUM,SE,55.0,3.0,0.6254545454545454
3118,3118,39,418,1.4,418.0,B12,µg,VITAMIN B-12,VITB12,2.4,1.0,0.5833333333333334
3205,3205,40,203,35.75,203.0,PROT,g,PROTEIN,PROCNT,60.0,2.0,0.5958333333333333
3209,3209,40,208,392.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,196.0
3217,3217,40,301,1184.0,301.0,CA,mg,CALCIUM,CA,1000.0,3.0,1.184
3222,3222,40,307,1376.0,307.0,,mg,SODIUM,,2300.0,4.0,0.5982608695652174
3308,3308,41,208,352.0,208.0,KCAL,kCal,ENERGY (KILOCALORIES),ENERC_KCAL,2.0,2.0,176.0
